 plgrid/tools/java8/oracle/1.8.0_144 unloaded.
 plgrid/tools/java8/oracle/1.8.0 loaded.

The following have been reloaded with a version change:
  1) plgrid/tools/java8/oracle/1.8.0_144 => plgrid/tools/java8/oracle/1.8.0

cpus: 1 time: 426.212000
cpus: 2 time: 402.272000
cpus: 3 time: 395.923000
cpus: 4 time: 429.953000
cpus: 5 time: 375.900000
cpus: 6 time: 396.673000
cpus: 7 time: 368.061000
cpus: 8 time: 418.550000
cpus: 9 time: 356.969000
cpus: 10 time: 387.625000
cpus: 11 time: 375.836000
cpus: 12 time: 414.717000
cpus: 13 time: 385.098000
cpus: 14 time: 366.843000
cpus: 15 time: 338.658000
cpus: 16 time: 525.131000
cpus: 17 time: 359.063000
cpus: 18 time: 336.429000
cpus: 19 time: 331.852000
cpus: 20 time: 355.175000
cpus: 21 time: 363.765000
cpus: 22 time: 376.607000
cpus: 23 time: 339.474000
cpus: 24 time: 360.048000
cpus: 25 time: 359.694000
cpus: 26 time: 373.862000
cpus: 27 time: 334.180000
cpus: 28 time: 374.432000
cpus: 29 time: 368.960000
cpus: 30 time: 393.277000
cpus: 31 time: 354.509000
cpus: 32 time: 522.696000
cpus: 33 time: 406.682000
cpus: 34 time: 360.175000
cpus: 35 time: 365.281000
cpus: 36 time: 584.357000
cpus: 37 time: 369.167000
cpus: 38 time: 515.024000
cpus: 39 time: 354.692000
cpus: 40 time: 350.425000
cpus: 41 time: 360.846000
cpus: 42 time: 357.929000
cpus: 43 time: 347.854000
cpus: 44 time: 387.943000
cpus: 45 time: 361.962000
cpus: 46 time: 345.341000
cpus: 47 time: 360.258000
cpus: 48 time: 341.404000
cpus: 49 time: 346.095000
cpus: 50 time: 359.258000
cpus: 51 time: 349.213000
cpus: 52 time: 368.322000
cpus: 53 time: 343.662000
cpus: 54 time: 343.898000
cpus: 55 time: 384.716000
cpus: 56 time: 369.752000
cpus: 57 time: 362.079000
cpus: 58 time: 361.637000
cpus: 59 time: 367.904000
cpus: 60 time: 405.814000
cpus: 61 time: 346.735000
cpus: 62 time: 399.692000
cpus: 63 time: 414.749000
cpus: 64 time: 353.454000
AKKA START
cpus: 1 time: 0.079000
cpus: 2 time: 0.033000
cpus: 3 time: 0.028000
cpus: 4 time: 0.027000
cpus: 5 time: 0.027000
cpus: 6 time: 0.028000
cpus: 7 time: 0.028000
cpus: 8 time: 0.028000
cpus: 9 time: 0.032000
cpus: 10 time: 0.033000
cpus: 11 time: 0.027000
cpus: 12 time: 0.027000
cpus: 13 time: 0.027000
cpus: 14 time: 0.027000
cpus: 15 time: 0.027000
cpus: 16 time: 0.027000
cpus: 17 time: 0.027000
cpus: 18 time: 0.033000
cpus: 19 time: 0.027000
cpus: 20 time: 0.027000
cpus: 21 time: 0.027000
cpus: 22 time: 0.027000
cpus: 23 time: 0.027000
cpus: 24 time: 0.028000
cpus: 25 time: 0.027000
cpus: 26 time: 0.033000
cpus: 27 time: 0.028000
cpus: 28 time: 0.028000
cpus: 29 time: 0.028000
cpus: 30 time: 0.027000
cpus: 31 time: 0.027000
cpus: 32 time: 0.027000
cpus: 33 time: 0.027000
cpus: 34 time: 0.027000
cpus: 35 time: 0.032000
cpus: 36 time: 0.027000
cpus: 37 time: 0.027000
cpus: 38 time: 0.027000
cpus: 39 time: 0.027000
cpus: 40 time: 0.027000
cpus: 41 time: 0.027000
cpus: 42 time: 0.027000
cpus: 43 time: 0.046000
cpus: 44 time: 0.027000
cpus: 45 time: 0.027000
cpus: 46 time: 0.027000
cpus: 47 time: 0.027000
cpus: 48 time: 0.027000
cpus: 49 time: 0.027000
cpus: 50 time: 0.027000
cpus: 51 time: 0.032000
cpus: 52 time: 0.027000
cpus: 53 time: 0.027000
cpus: 54 time: 0.027000
cpus: 55 time: 0.027000
cpus: 56 time: 0.027000
cpus: 57 time: 0.027000
cpus: 58 time: 0.027000
cpus: 59 time: 0.032000
cpus: 60 time: 0.027000
cpus: 61 time: 0.027000
cpus: 62 time: 0.027000
cpus: 63 time: 0.027000
cpus: 64 time: 0.027000
