 plgrid/tools/java8/oracle/1.8.0_144 unloaded.
 plgrid/tools/java8/oracle/1.8.0 loaded.

The following have been reloaded with a version change:
  1) plgrid/tools/java8/oracle/1.8.0_144 => plgrid/tools/java8/oracle/1.8.0

cpus: 1 time: 451.968000
cpus: 2 time: 402.320000
cpus: 3 time: 482.834000
cpus: 4 time: 394.291000
cpus: 5 time: 371.707000
cpus: 6 time: 382.073000
cpus: 7 time: 388.843000
cpus: 8 time: 375.121000
cpus: 9 time: 404.266000
cpus: 10 time: 383.640000
cpus: 11 time: 388.038000
cpus: 12 time: 346.419000
cpus: 13 time: 378.219000
cpus: 14 time: 339.477000
cpus: 15 time: 392.209000
cpus: 16 time: 566.263000
cpus: 17 time: 374.424000
cpus: 18 time: 336.462000
cpus: 19 time: 367.411000
cpus: 20 time: 354.041000
cpus: 21 time: 411.211000
cpus: 22 time: 382.919000
cpus: 23 time: 422.588000
cpus: 24 time: 395.644000
cpus: 25 time: 419.424000
cpus: 26 time: 378.823000
cpus: 27 time: 420.846000
cpus: 28 time: 393.338000
cpus: 29 time: 354.234000
cpus: 30 time: 384.766000
cpus: 31 time: 440.045000
cpus: 32 time: 440.088000
cpus: 33 time: 428.770000
cpus: 34 time: 435.698000
cpus: 35 time: 353.983000
cpus: 36 time: 431.427000
cpus: 37 time: 467.164000
cpus: 38 time: 411.363000
cpus: 39 time: 489.809000
cpus: 40 time: 479.109000
cpus: 41 time: 406.441000
cpus: 42 time: 407.964000
cpus: 43 time: 440.761000
cpus: 44 time: 423.204000
cpus: 45 time: 452.510000
cpus: 46 time: 430.939000
cpus: 47 time: 434.523000
cpus: 48 time: 478.950000
cpus: 49 time: 431.590000
cpus: 50 time: 408.228000
cpus: 51 time: 417.691000
cpus: 52 time: 412.518000
cpus: 53 time: 413.793000
cpus: 54 time: 439.461000
cpus: 55 time: 445.847000
cpus: 56 time: 427.969000
cpus: 57 time: 442.261000
cpus: 58 time: 433.720000
cpus: 59 time: 427.461000
cpus: 60 time: 442.810000
cpus: 61 time: 455.255000
cpus: 62 time: 446.641000
cpus: 63 time: 495.446000
cpus: 64 time: 420.153000
AKKA START
cpus: 1 time: 0.088000
cpus: 2 time: 0.032000
cpus: 3 time: 0.032000
cpus: 4 time: 0.038000
cpus: 5 time: 0.031000
cpus: 6 time: 0.036000
cpus: 7 time: 0.033000
cpus: 8 time: 0.033000
cpus: 9 time: 0.032000
cpus: 10 time: 0.032000
cpus: 11 time: 0.032000
cpus: 12 time: 0.033000
cpus: 13 time: 0.032000
cpus: 14 time: 0.033000
cpus: 15 time: 0.033000
cpus: 16 time: 0.032000
cpus: 17 time: 0.033000
cpus: 18 time: 0.033000
cpus: 19 time: 0.033000
cpus: 20 time: 0.032000
cpus: 21 time: 0.033000
cpus: 22 time: 0.033000
cpus: 23 time: 0.032000
cpus: 24 time: 0.032000
cpus: 25 time: 0.032000
cpus: 26 time: 0.033000
cpus: 27 time: 0.036000
cpus: 28 time: 0.033000
cpus: 29 time: 0.033000
cpus: 30 time: 0.033000
cpus: 31 time: 0.032000
cpus: 32 time: 0.033000
cpus: 33 time: 0.033000
cpus: 34 time: 0.033000
cpus: 35 time: 0.033000
cpus: 36 time: 0.037000
cpus: 37 time: 0.037000
cpus: 38 time: 0.037000
cpus: 39 time: 0.038000
cpus: 40 time: 0.038000
cpus: 41 time: 0.037000
cpus: 42 time: 0.038000
cpus: 43 time: 0.037000
cpus: 44 time: 0.037000
cpus: 45 time: 0.037000
cpus: 46 time: 0.038000
cpus: 47 time: 0.038000
cpus: 48 time: 0.038000
cpus: 49 time: 0.038000
cpus: 50 time: 0.038000
cpus: 51 time: 0.038000
cpus: 52 time: 0.040000
cpus: 53 time: 0.038000
cpus: 54 time: 0.038000
cpus: 55 time: 0.038000
cpus: 56 time: 0.039000
cpus: 57 time: 0.038000
cpus: 58 time: 0.038000
cpus: 59 time: 0.042000
cpus: 60 time: 0.039000
cpus: 61 time: 0.039000
cpus: 62 time: 0.038000
cpus: 63 time: 0.039000
cpus: 64 time: 0.038000
