Fitness[1541671.5494949403] Iteration[3000]
Fitness[1521778.64689693] Iteration[2400]
Fitness[1522117.028849318] Iteration[1200]
Fitness[1560322.9788523703] Iteration[1800]
Fitness[1514006.726505074] Iteration[2800]
Fitness[1513518.7577592467] Iteration[2800]
Fitness[1512839.8199943996] Iteration[1400]
Fitness[1515578.4949655065] Iteration[2600]
Fitness[1521279.9660065267] Iteration[3400]
Fitness[1520825.1333414798] Iteration[2800]
